class,class_conf,bbox_xywh
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[0.],[0.40363362],"[array([513.4708252 , 231.44804382, 408.7182312 , 456.73312378])]"
[0.],[0.57746071],"[array([516.6965332 , 229.84104919, 403.39611816, 457.72488403])]"
[0.],[0.67365426],"[array([515.86352539, 229.1582489 , 404.84146118, 455.86831665])]"
[0.],[0.53129524],"[array([516.83459473, 228.64790344, 402.97235107, 455.43869019])]"
[0.],[0.52693975],"[array([520.1506958 , 228.70100403, 395.94699097, 456.35916138])]"
[0.],[0.46701524],"[array([525.7076416 , 229.17529297, 385.37176514, 457.23406982])]"
[0.],[0.50175405],"[array([534.66326904, 229.76541138, 367.73245239, 458.4588623 ])]"
[0.],[0.59908825],"[array([537.7644043 , 230.04008484, 361.69451904, 459.17282104])]"
[0. 0.],[0.22956425 0.32682312],"[array([544.10662842, 229.70649719, 349.25375366, 457.25668335])
 array([363.39065552, 229.17770386, 710.23565674, 454.91247559])]"
[0. 0.],[0.30475572 0.33790621],"[array([546.11572266, 229.75511169, 345.21395874, 456.91873169])
 array([361.02178955, 230.02804565, 714.88232422, 459.28295898])]"
[0. 0.],[0.3001039  0.25621831],"[array([551.96740723, 230.81478882, 334.10906982, 456.55023193])
 array([360.31921387, 233.12573242, 715.86181641, 455.77282715])]"
[0. 0.],[0.18525922 0.23882788],"[array([557.02490234, 278.18737793, 325.17657471, 361.86633301])
 array([361.52655029, 231.59765625, 715.30432129, 458.28063965])]"
[0. 0.],[0.19785453 0.14576514],"[array([558.79003906, 296.36026001, 322.11181641, 325.86340332])
 array([361.94711304, 232.50973511, 715.31292725, 457.13763428])]"
[3.],[0.18307945],"[array([361.4694519 , 234.83448792, 715.54437256, 451.18844604])]"
[3.],[0.20387568],"[array([360.98602295, 250.82817078, 716.34753418, 418.60488892])]"
[3.],[0.16809694],"[array([361.32702637, 256.41384888, 715.82409668, 406.26971436])]"
[0.],[0.27379173],"[array([362.53762817, 259.60980225, 714.14532471, 402.50634766])]"
[1.],[0.11665802],"[array([360.76727295, 255.81985474, 715.94152832, 398.98144531])]"
[1.],[0.12432069],"[array([360.15765381, 259.06890869, 716.50939941, 386.62902832])]"
[3.],[0.1063592],"[array([360.41571045, 263.5758667 , 716.54431152, 384.80630493])]"
[4.],[0.25590113],"[array([360.54803467, 263.9586792 , 716.87365723, 386.75927734])]"
[4.],[0.22166035],"[array([361.89978027, 265.05856323, 714.42419434, 385.78390503])]"
[4.],[0.2383789],"[array([362.71902466, 263.36123657, 713.12591553, 389.23834229])]"
[4.],[0.187766],"[array([363.65182495, 251.94033813, 711.55206299, 411.26165771])]"
[0.],[0.11510757],"[array([364.24203491, 249.42955017, 710.64678955, 416.45004272])]"
[0. 0.],[0.13955742 0.61609483],"[array([364.50006104, 238.31129456, 710.11083984, 446.32266235])
 array([558.00219727, 300.89611816, 323.99557495, 316.40036011])]"
[0. 0.],[0.12860741 0.77222395],"[array([362.11743164, 234.79150391, 711.4934082 , 459.31671143])
 array([557.09106445, 301.21841431, 324.64523315, 316.3425293 ])]"
[0. 0.],[0.32639849 0.66273165],"[array([361.19302368, 233.9591217 , 713.09234619, 465.30703735])
 array([557.27819824, 301.01318359, 324.74798584, 315.64663696])]"
[ 0.  0. 67.],[0.32597142 0.61140102 0.441147  ],"[array([360.85800171, 233.54989624, 713.44476318, 467.09979248])
 array([557.05761719, 300.78707886, 325.21972656, 316.02410889])
 array([252.55123901, 167.79391479, 501.35021973, 199.22052002])]"
[ 0.  0. 67.],[0.42686197 0.65684253 0.38893667],"[array([361.74749756, 232.84368896, 713.16442871, 465.68737793])
 array([556.56323242, 300.72808838, 325.90447998, 315.52444458])
 array([251.88322449, 167.63238525, 501.54397583, 199.91473389])]"
[ 0.  0. 67.],[0.36444968 0.54155648 0.27963826],"[array([362.55340576, 232.26348877, 712.75854492, 464.52697754])
 array([556.83770752, 254.96054077, 325.47897339, 409.28234863])
 array([251.54499817, 168.08065796, 501.39505005, 199.43489075])]"
[ 0.  0. 67.],[0.50788885 0.67209458 0.37179393],"[array([360.83761597, 230.61109924, 713.24676514, 461.19876099])
 array([556.54608154, 237.87519836, 325.93765259, 441.69400024])
 array([251.35794067, 168.35632324, 501.03070068, 198.89025879])]"
[ 0.  0. 65.],[0.38804764 0.66813201 0.43541873],"[array([360.2744751 , 232.21601868, 714.09509277, 461.6892395 ])
 array([556.66705322, 230.61010742, 324.97207642, 454.97717285])
 array([251.14830017, 169.87103271, 500.2661438 , 198.02793884])]"
[ 0.  0. 65.],[0.39997563 0.61954367 0.53737855],"[array([360.01455688, 232.26445007, 715.05987549, 463.65353394])
 array([556.61730957, 228.80635071, 325.74154663, 457.61270142])
 array([249.86112976, 170.00907898, 497.9725647 , 198.64718628])]"
[ 0.  0. 65.],[0.34138989 0.65495002 0.47029302],"[array([360.09243774, 232.06361389, 714.72235107, 463.62368774])
 array([556.47045898, 228.73680115, 326.17398071, 457.47360229])
 array([248.39804077, 170.03198242, 495.99255371, 198.63116455])]"
[ 0.  0. 65.],[0.34196782 0.68559039 0.43589801],"[array([359.91101074, 230.38967896, 714.13952637, 459.60125732])
 array([556.10479736, 228.98616028, 327.01101685, 457.97232056])
 array([247.43449402, 170.40499878, 494.86898804, 197.98155212])]"
[ 0.  0. 65.],[0.39959985 0.68643427 0.39081249],"[array([360.11508179, 229.8162384 , 714.44036865, 458.22207642])
 array([556.3961792 , 229.24430847, 326.92529297, 458.48861694])
 array([249.09133911, 170.06700134, 497.16687012, 198.75497437])]"
[ 0.  0. 67.],[0.44134438 0.72058564 0.33228117],"[array([360.45831299, 230.31561279, 712.17749023, 457.76812744])
 array([554.36791992, 229.197052  , 328.5713501 , 458.394104  ])
 array([249.30851746, 172.46630859, 498.00704956, 196.29173279])]"
[ 0.  0. 67.],[0.30573681 0.77601647 0.34417543],"[array([360.63250732, 233.02255249, 713.35424805, 464.72363281])
 array([552.86877441, 229.15087891, 331.93283081, 458.30175781])
 array([250.03712463, 173.56237793, 498.99874878, 196.46960449])]"
[ 0.  0. 65.],[0.31766    0.81531417 0.32574984],"[array([361.11752319, 232.46102905, 713.91448975, 464.92205811])
 array([552.79949951, 228.93681335, 333.31713867, 457.87362671])
 array([250.32945251, 172.57824707, 499.70162964, 199.65797424])]"
[ 0.  0. 67.],[0.28902262 0.77587175 0.12044554],"[array([362.44113159, 233.0242157 , 710.13189697, 466.0484314 ])
 array([546.26257324, 229.2164917 , 345.71304321, 458.4329834 ])
 array([249.4002533 , 173.4627533 , 497.83029175, 201.29934692])]"
[ 0.  0. 67.],[0.33568621 0.8512637  0.4261308 ],"[array([361.11026001, 233.74559021, 712.92840576, 467.16903687])
 array([542.31774902, 229.05804443, 352.97399902, 458.11608887])
 array([249.08650208, 177.06330872, 497.68692017, 195.44577026])]"
[ 0.  0. 67.],[0.38080513 0.82622039 0.39752948],"[array([360.64904785, 234.27270508, 712.35705566, 467.31555176])
 array([540.65667725, 228.79820251, 355.51644897, 457.59640503])
 array([248.43444824, 179.54721069, 495.7901001 , 194.50604248])]"
[ 0.  0. 65.],[0.38085318 0.75812423 0.59235114],"[array([360.92959595, 235.44177246, 712.91192627, 464.90979004])
 array([539.58996582, 228.13999939, 358.87265015, 456.27999878])
 array([247.62559509, 178.29496765, 495.25119019, 196.30459595])]"
[ 0.  0. 65.  0.],[0.3633264  0.74130297 0.41500068 0.45247188],"[array([361.04177856, 237.43452454, 714.57147217, 460.57839966])
 array([538.95367432, 228.06207275, 362.09268188, 456.12414551])
 array([248.33625793, 177.34234619, 496.67251587, 196.18762207])
 array([539.66931152,  95.23617554, 360.22467041, 190.47235107])]"
[ 0.  0. 65.  0.],[0.34357592 0.74937427 0.51140612 0.40205055],"[array([360.91708374, 236.88751221, 714.83319092, 463.28625488])
 array([538.43792725, 228.87512207, 363.05471802, 457.75024414])
 array([248.37078857, 175.00671387, 496.13409424, 201.42936707])
 array([539.0567627 ,  95.13523102, 361.01116943, 190.18766785])]"
[ 0.  0. 65.  0.],[0.37823084 0.59434319 0.61745477 0.63440752],"[array([361.28591919, 234.1434021 , 714.76873779, 468.2868042 ])
 array([541.27990723, 230.22457886, 357.44018555, 460.44915771])
 array([249.29431152, 171.84262085, 498.19250488, 201.36401367])
 array([536.855896  ,  93.05780792, 366.28817749, 186.11561584])]"
[ 0.  0. 67.  0.  0.],[0.29352096 0.6095978  0.37703696 0.50230992 0.43318444],"[array([361.76907349, 234.13923645, 714.11968994, 468.2784729 ])
 array([532.72790527, 229.94154358, 374.54421997, 459.88308716])
 array([249.8526001 , 169.86395264, 498.77105713, 199.69671631])
 array([530.95617676,  86.62399292, 377.32192993, 172.5741272 ])
 array([552.42425537, 303.11920166, 334.7767334 , 317.52676392])]"
[ 0.  0. 67.  0.  0.],[0.12761721 0.23960745 0.27361932 0.29951882 0.65759408],"[array([361.98303223, 234.618927  , 712.80432129, 463.83990479])
 array([522.80212402, 230.39929199, 394.39575195, 460.79858398])
 array([250.12416077, 168.34063721, 499.24276733, 201.07325745])
 array([523.44250488,  70.42575073, 390.98400879, 139.66638184])
 array([552.92578125, 302.10375977, 334.03393555, 318.27770996])]"
[ 0.  0. 65.  0.  0.],[0.13957438 0.17471348 0.16517845 0.21577874 0.66448098],"[array([362.28063965, 234.62940979, 711.25598145, 462.60476685])
 array([506.35546875, 230.65786743, 426.93701172, 459.56103516])
 array([249.64109802, 168.43228149, 497.85006714, 199.17332458])
 array([513.01617432,  54.20603943, 408.44165039, 106.8041687 ])
 array([552.68414307, 301.88153076, 333.36398315, 317.4927063 ])]"
[ 0.  0. 65.  0.  0.],[0.16136321 0.34660825 0.15404017 0.23285466 0.63808066],"[array([362.50668335, 235.35163879, 710.54168701, 462.52774048])
 array([505.11907959, 230.66540527, 428.36538696, 459.21801758])
 array([250.75080872, 169.04014587, 500.54714966, 197.48556519])
 array([509.01083374,  49.54526138, 414.92401123,  97.64694977])
 array([552.4161377 , 301.60888672, 333.48068237, 317.17834473])]"
[ 0.  0. 67.  0.  0.],[0.2022284  0.29509383 0.3520101  0.29681915 0.65743464],"[array([362.2833252 , 234.43850708, 711.13684082, 466.01782227])
 array([504.91003418, 231.12223816, 428.67703247, 460.69015503])
 array([251.28843689, 169.54873657, 501.4604187 , 197.50695801])
 array([508.56622314,  48.16518402, 415.76382446,  95.09498596])
 array([552.45941162, 301.68795776, 333.85119629, 317.84350586])]"
[ 0.  0. 67.  0.  0.],[0.12841132 0.42008838 0.12543118 0.26101303 0.53342557],"[array([363.35522461, 234.55097961, 708.43615723, 464.75881958])
 array([506.84637451, 231.0256958 , 425.03662109, 460.89752197])
 array([251.61613464, 169.99494934, 502.28903198, 196.86642456])
 array([508.96099854,  46.59247971, 414.83544922,  91.85306549])
 array([552.15234375, 302.04052734, 334.2996521 , 317.65270996])]"
[ 0.  0. 67.  0.  0.],[0.30916566 0.48258772 0.47650373 0.316387   0.41134363],"[array([363.8465271 , 232.90350342, 710.47772217, 465.19763184])
 array([511.73358154, 230.54103088, 415.8977356 , 460.69943237])
 array([251.56539917, 168.98597717, 501.98480225, 199.11782837])
 array([511.1574707 ,  45.74862289, 413.47305298,  91.47992706])
 array([552.059021  , 301.38623047, 335.05505371, 318.51538086])]"
[ 0.  0. 67.  0.  0.],[0.27784789 0.13474905 0.39896867 0.31995517 0.63673615],"[array([362.36129761, 233.19462585, 712.55450439, 466.38925171])
 array([509.29486084, 229.77342224, 420.74951172, 458.75088501])
 array([251.13453674, 168.72547913, 501.02145386, 199.21340942])
 array([510.63360596,  46.31079483, 416.19482422,  91.7901535 ])
 array([552.25061035, 301.26867676, 335.14004517, 318.99597168])]"
[ 0.  0. 67.  0.  0.],[0.34924647 0.37003365 0.37432823 0.21822251 0.43242851],"[array([361.18450928, 233.70762634, 713.99609375, 461.25643921])
 array([511.89447021, 230.49987793, 415.29248047, 460.14880371])
 array([249.75160217, 168.8692627 , 497.82437134, 198.88818359])
 array([511.65283203,  55.14811707, 414.48568726, 109.87423706])
 array([552.52996826, 301.39865112, 334.3651123 , 318.58258057])]"
[ 0.  0. 65.  0.  0.],[0.29784933 0.41714802 0.10315665 0.2974523  0.55937737],"[array([360.72421265, 234.10327148, 713.87432861, 458.33581543])
 array([513.28778076, 229.87617493, 412.07324219, 458.67935181])
 array([250.98139954, 168.95899963, 499.84066772, 197.09017944])
 array([512.19793701,  56.41466522, 412.41931152, 111.31987   ])
 array([552.49395752, 301.67288208, 333.73513794, 317.06304932])]"
[ 0.  0. 67.  0.  0.],[0.26075283 0.47427806 0.28438246 0.26709443 0.45061943],"[array([361.07574463, 234.68675232, 713.15710449, 457.79379272])
 array([513.29821777, 229.64433289, 412.3812561 , 458.66824341])
 array([250.86322021, 168.36161804, 499.85742188, 197.94412231])
 array([512.30102539,  57.41249847, 412.13278198, 113.54878235])
 array([552.46740723, 301.51327515, 333.92623901, 316.80877686])]"
[ 0.  0. 67.  0.  0.],[0.25681987 0.53837591 0.3978413  0.30133635 0.38114396],"[array([360.81231689, 234.1703949 , 714.62365723, 462.88809204])
 array([515.54467773, 229.84628296, 408.28778076, 458.39978027])
 array([250.52220154, 168.92202759, 498.97903442, 196.58912659])
 array([514.065979  ,  64.72120667, 409.07907104, 128.28341675])
 array([552.57879639, 301.12985229, 333.81973267, 316.54559326])]"
[ 0.  0. 65.  0.  0.],[0.15268543 0.60682946 0.34710819 0.19151351 0.29949439],"[array([360.65817261, 234.99766541, 712.98126221, 458.89230347])
 array([517.3536377 , 231.24102783, 403.02047729, 457.73834229])
 array([251.74842834, 169.8157959 , 501.54806519, 196.60038757])
 array([518.10656738,  74.52088165, 399.85299683, 146.83958435])
 array([551.94171143, 301.77706909, 333.79797363, 316.14678955])]"
[ 0.  0. 65.  0.  0.],[0.25886902 0.76099336 0.53820634 0.25539255 0.11831653],"[array([360.38449097, 234.80421448, 713.69158936, 457.14486694])
 array([527.94073486, 231.11946106, 381.58016968, 458.2192688 ])
 array([250.89257812, 171.96572876, 500.5456543 , 194.87579346])
 array([527.28063965,  82.46627808, 381.81607056, 162.98471069])
 array([551.80944824, 303.40332031, 333.79647827, 314.40383911])]"
[ 0.  0. 65.  0.],[0.26655608 0.81025833 0.54960996 0.17209668],"[array([360.6083374 , 234.18251038, 714.14978027, 456.5630188 ])
 array([535.21520996, 229.33239746, 368.07254028, 456.5567627 ])
 array([250.71798706, 172.45858765, 500.3145752 , 194.9163208 ])
 array([534.35827637,  87.13258362, 367.51446533, 173.03768921])]"
[ 0.  0. 67.  0.],[0.44498104 0.81293249 0.45220211 0.1460069 ],"[array([362.85302734, 230.89656067, 710.44592285, 457.68197632])
 array([539.13244629, 228.72622681, 360.91699219, 456.12457275])
 array([250.89677429, 172.82516479, 500.84066772, 193.7247467 ])
 array([538.75390625,  89.28353119, 357.93685913, 177.8167572 ])]"
[ 0.  0. 67.  0.],[0.50908023 0.72545737 0.58416647 0.23143868],"[array([363.41012573, 230.1632843 , 709.6696167 , 459.31234741])
 array([540.96380615, 229.38902283, 357.95846558, 458.02255249])
 array([251.11470032, 172.58525085, 500.75894165, 195.32467651])
 array([540.53356934,  89.50409698, 355.578125  , 178.77723694])]"
[ 0.  0. 67.  0.],[0.47426379 0.75241804 0.58166611 0.26860696],"[array([362.85977173, 229.94309998, 711.41436768, 459.04208374])
 array([541.23297119, 228.81065369, 357.02554321, 456.75442505])
 array([250.83834839, 173.11688232, 499.95733643, 195.46128845])
 array([541.71264648,  90.44519043, 353.9765625 , 180.66534424])]"
[ 0.  0. 67.  0.],[0.40721264 0.81136417 0.46878707 0.26051998],"[array([363.82971191, 230.62132263, 709.81860352, 461.24264526])
 array([541.36328125, 229.88691711, 356.48568726, 457.85916138])
 array([251.15016174, 173.00764465, 499.80776978, 196.05679321])
 array([541.73376465,  92.40587616, 355.08306885, 184.2591095 ])]"
[ 0.  0. 65.  0.],[0.31188196 0.85659981 0.39707986 0.28791463],"[array([362.80239868, 230.11393738, 712.05548096, 459.51315308])
 array([541.41265869, 228.92372131, 356.5866394 , 456.68496704])
 array([250.7447052 , 172.87950134, 499.95736694, 194.97915649])
 array([541.68878174,  92.98736572, 355.55062866, 185.85925293])]"
[ 0.  0. 67.  0.],[0.37938645 0.81776917 0.37686652 0.22232133],"[array([362.00234985, 229.71839905, 713.87713623, 459.4367981 ])
 array([540.30102539, 229.61108398, 358.89752197, 457.18493652])
 array([250.49925232, 172.77163696, 500.04867554, 194.86987305])
 array([540.1161499 ,  95.62419128, 357.98852539, 190.7361145 ])]"
[ 0.  0. 67.  0.],[0.36629039 0.8138001  0.47917116 0.25850272],"[array([362.56896973, 230.09753418, 713.38244629, 460.19506836])
 array([539.66937256, 228.67552185, 360.6612854 , 456.71615601])
 array([250.32247925, 172.01255798, 499.77581787, 194.30300903])
 array([539.24133301,  96.09536743, 360.05102539, 192.08352661])]"
[ 0.  0. 67.  0.],[0.46142182 0.77302331 0.56632423 0.26187584],"[array([362.9006958 , 230.47946167, 712.27868652, 460.95892334])
 array([539.16271973, 229.62329102, 361.35601807, 456.85620117])
 array([250.43391418, 172.23908997, 499.72122192, 194.76290894])
 array([538.79260254,  96.68771362, 360.39285278, 192.29290771])]"
[ 0.  0. 67.  0.],[0.41295639 0.76939052 0.45783404 0.28467512],"[array([363.00268555, 230.34454346, 711.8215332 , 460.68908691])
 array([539.20263672, 229.90237427, 361.24786377, 456.87268066])
 array([250.0771637 , 170.9380188 , 499.18228149, 193.23118591])
 array([538.92004395,  96.78411102, 359.79156494, 192.48576355])]"
[ 0.  0. 67.  0.],[0.50930047 0.79875195 0.43389246 0.26696327],"[array([363.43920898, 231.35397339, 712.46044922, 462.70794678])
 array([540.19641113, 229.12374878, 359.60720825, 456.31164551])
 array([250.89265442, 168.39912415, 499.82943726, 196.28134155])
 array([539.93048096,  98.00395203, 358.57165527, 195.39147949])]"
[ 0.  0. 67.],[0.45822537 0.82399088 0.61816114],"[array([362.86175537, 228.96720886, 714.27648926, 457.93441772])
 array([539.99169922, 228.43508911, 360.01654053, 456.14453125])
 array([251.25384521, 166.66149902, 501.37634277, 194.05883789])]"
[ 0.  0. 65.],[0.47006828 0.79596484 0.64051908],"[array([361.51937866, 229.35652161, 715.7913208 , 458.71304321])
 array([538.47814941, 228.96080017, 363.04376221, 454.95767212])
 array([251.13348389, 165.62960815, 501.44726562, 195.40026855])]"
[ 0.  0. 65. 67.  0.],[0.45322573 0.77407861 0.43231052 0.40060118 0.3320615 ],"[array([361.31393433, 230.6973877 , 714.04571533, 459.78106689])
 array([535.71679688, 229.60136414, 366.42071533, 453.16525269])
 array([250.18899536, 167.07817078, 499.91809082, 192.56533813])
 array([251.43391418, 166.0710907 , 499.96621704, 194.64974976])
 array([535.15557861,  99.69794464, 368.37112427, 197.53456116])]"
[ 0.  0. 66. 67.  0.],[0.36867869 0.74980563 0.26815894 0.36851111 0.3745563 ],"[array([360.3001709 , 232.22763062, 715.20275879, 459.6373291 ])
 array([535.28100586, 229.64675903, 367.6524353 , 453.6484375 ])
 array([250.10896301, 166.24069214, 499.63607788, 194.23303223])
 array([251.38284302, 166.46981812, 499.73065186, 194.40625   ])
 array([533.94006348, 100.16358185, 370.1663208 , 197.51567078])]"
[ 0.  0.  0. 66.],[0.45083785 0.6325177  0.40616181 0.30581939],"[array([360.86758423, 232.17976379, 713.81500244, 460.6524353 ])
 array([532.26123047, 230.11201477, 372.40023804, 453.58700562])
 array([530.68566895, 101.11799622, 374.61056519, 198.05865479])
 array([321.50427246, 336.73812866, 641.92712402, 260.06109619])]"
[ 0.  0.  0. 66. 65.],[0.41177562 0.68832541 0.32095504 0.24260861 0.66351694],"[array([361.52056885, 230.53225708, 713.6204834 , 459.33148193])
 array([526.90759277, 229.85229492, 383.19848633, 454.60406494])
 array([526.89239502, 101.59472656, 382.67160034, 199.84741211])
 array([313.94787598, 336.72692871, 627.16247559, 259.31970215])
 array([248.85221863, 168.05276489, 497.44168091, 194.0443573 ])]"
[ 0.  0.  0. 66. 65.],[0.39350519 0.67903358 0.21304971 0.10716667 0.81088918],"[array([360.96557617, 229.46012878, 714.21069336, 458.80245972])
 array([523.22625732, 229.42329407, 391.57260132, 455.28530884])
 array([523.88806152, 101.70484161, 390.01501465, 200.85490417])
 array([312.33999634, 334.86273193, 623.85162354, 255.26895142])
 array([249.05943298, 167.94680786, 497.59890747, 194.33258057])]"
[ 0.  0.  0. 65.],[0.37430286 0.6542986  0.17519721 0.62511003],"[array([360.1121521 , 232.96327209, 714.17120361, 455.16598511])
 array([516.15124512, 229.91253662, 404.87692261, 455.21905518])
 array([515.45910645, 101.88354492, 404.7784729 , 199.9258728 ])
 array([248.57789612, 169.91096497, 496.1902771 , 191.38845825])]"
[ 0.  0.  0. 65.],[0.28830448 0.80069304 0.13226578 0.54326606],"[array([359.48431396, 232.35134888, 714.36608887, 458.99890137])
 array([507.96456909, 230.50563049, 420.78692627, 455.1222229 ])
 array([507.84713745, 101.83257294, 418.97540283, 199.95753479])
 array([247.37246704, 171.40505981, 494.39367676, 189.59425354])]"
[ 0.  0.  0. 65.],[0.29608113 0.76710409 0.18448727 0.39945242],"[array([360.50384521, 232.9243927 , 714.37597656, 464.12332153])
 array([505.73126221, 230.86186218, 426.58984375, 456.38772583])
 array([506.08499146, 101.15724182, 424.41644287, 199.74121094])
 array([247.25778198, 171.56300354, 493.60803223, 189.17098999])]"
[ 0.  0.  0. 65.],[0.26340812 0.80516738 0.19595256 0.58653808],"[array([360.81201172, 233.35832214, 714.3145752 , 466.48013306])
 array([503.06591797, 231.00772095, 432.48364258, 457.17449951])
 array([503.74078369, 100.90318298, 429.61523438, 199.78262329])
 array([247.81436157, 172.13288879, 494.23852539, 190.09646606])]"
[ 0.  0.  0. 65.],[0.26126805 0.80502874 0.16290644 0.64937192],"[array([360.78411865, 233.49276733, 715.05200195, 466.98553467])
 array([500.46322632, 230.93215942, 437.95196533, 457.27667236])
 array([501.105896  ,  99.63290405, 435.76135254, 197.89596558])
 array([248.53440857, 172.032547  , 495.92294312, 190.7170105 ])]"
[ 0.  0. 65.],[0.24206249 0.81875849 0.5598762 ],"[array([360.72045898, 233.78582764, 714.4362793 , 467.57165527])
 array([500.45855713, 231.00784302, 438.92489624, 457.91174316])
 array([249.63148499, 170.99562073, 497.60147095, 191.8241272 ])]"
[ 0.  0. 67.],[0.23099038 0.83694255 0.41488376],"[array([360.57015991, 233.93589783, 714.02825928, 467.87179565])
 array([499.41488647, 230.81944275, 440.16082764, 457.22433472])
 array([250.26902771, 170.53439331, 498.13687134, 192.82603455])]"
[ 0.  0. 67.],[0.22390187 0.8205862  0.40706497],"[array([360.01867676, 233.86279297, 714.22131348, 467.72558594])
 array([496.65899658, 229.82376099, 444.9197998 , 454.98303223])
 array([250.16162109, 170.38114929, 498.8381958 , 192.09182739])]"
[ 0.  0. 67.],[0.25879878 0.81043816 0.40877566],"[array([359.79376221, 234.13827515, 713.96728516, 468.27655029])
 array([495.73590088, 229.49674988, 446.50119019, 454.41152954])
 array([250.22206116, 169.94032288, 499.74569702, 193.61325073])]"
[ 0.  0. 65.],[0.23460722 0.84585774 0.56261235],"[array([359.58108521, 234.0741272 , 714.14801025, 468.14825439])
 array([495.69909668, 229.99794006, 446.30606079, 455.38204956])
 array([249.45596313, 169.59034729, 498.15063477, 193.13943481])]"
